"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"J Agric Food Chem (2002), 50(6), 1451-1454 (PMID:11879019)"	16	1	16	Manual data extraction	Data standardisation and curation	CHEMBL3044526
"Crop Protection (2007), 26(3), 294-298 (DOI:10.1016/j.cropro.2005.06.011)"	1	38	38	Manual data extraction	Data standardisation and curation	CHEMBL3044527
"J Pesticide Sci (2012), 37(1), 89-94 (DOI:10.1584/jpestics.D11-004)"	28	9	252	Manual data extraction	Data standardisation and curation	CHEMBL3044528
"Med Chem Res (2011), 20(5), 535-541 (DOI:10.1007/s00044-010-9347-9)"	6	10	60	Manual data extraction	Data standardisation and curation	CHEMBL3044529
"Med Chem Res (2013), 22(10), 4615-4621 (DOI:10.1007/s00044-012-0415-1)"	7	3	15	Manual data extraction	Data standardisation and curation	CHEMBL3044530
"J Agric Food Chem (2007), 55(13), 5171-5179 (PMID:17542610)"	14	3	42	Manual data extraction	Data standardisation and curation	CHEMBL3044531
"Crop Protection (2009), 28(4), 295-301 (DOI:10.1016/j.cropro.2008.11.004)"	2	16	16	Manual data extraction	Data standardisation and curation	CHEMBL3044532
"Alkaloids Chem Biol (2007), 64(), 139-214 (PMID:18085331)"	6	19	36	Manual data extraction	Data standardisation and curation	CHEMBL3044533
"Med Chem Res (2013), 22(5), 2207-2221 (DOI:10.1007/s00044-012-0213-9)"	22	6	99	Manual data extraction	Data standardisation and curation	CHEMBL3044534
"Med Chem Res (2012), 21(11), 3347-3360 (DOI:10.1007/s00044-011-9800-4)"	2	19	22	Manual data extraction	Data standardisation and curation	CHEMBL3044535
"Med Chem Res (2013), 22(3), 1450-1455 (DOI:10.1007/s00044-012-0109-8)"	15	26	146	Manual data extraction	Data standardisation and curation	CHEMBL3044536
"Med Chem Res (2012), 21(2), 224-228 (DOI:10.1007/s00044-010-9535-7)"	2	23	23	Manual data extraction	Data standardisation and curation	CHEMBL3044537
"Med Chem Res (2006), 15(7), 393-406 (DOI:10.1007/s00044-006-0010-4)"	40	4	101	Manual data extraction	Data standardisation and curation	CHEMBL3044538
"J Agric Food Chem (2003), 51(1), 95-99 (PMID:12502391)"	1	2	2	Manual data extraction	Data standardisation and curation	CHEMBL3044539
"J Pesticide Sci (1998), 23(2), 137-140 (DOI:10.1584/jpestics.23.137)"	21	4	84	Manual data extraction	Data standardisation and curation	CHEMBL3044540
"Crop Protection (2007), 26(11), 1667-1673 (DOI:10.1016/j.cropro.2007.02.008)"	5	74	246	Manual data extraction	Data standardisation and curation	CHEMBL3044541
"J Agric Food Chem (2011), 59(7), 2938-2942 (PMID:20919736)"	34	35	156	Manual data extraction	Data standardisation and curation	CHEMBL3044542
"Med Chem Res (2009), 18(6), 477-494 (DOI:10.1007/s00044-008-9139-7)"	2	2	2	Manual data extraction	Data standardisation and curation	CHEMBL3044543
"Med Chem Res (2012), 21(8), 1861-1868 (DOI:10.1007/s00044-011-9703-4)"	14	9	42	Manual data extraction	Data standardisation and curation	CHEMBL3044544
"Med Chem Res (2012), 21(7), 1395-1402 (DOI:10.1007/s00044-011-9656-7)"	16	13	126	Manual data extraction	Data standardisation and curation	CHEMBL3044545
"Bioorg. Med. Chem. Lett. (1996), 6(5), 547-552 (DOI:10.1016/0960-894X(96)00076-5)"	12	2	14	Manual data extraction	Data standardisation and curation	CHEMBL3044546
"Med Chem Res (2011), 20(1), 125-129 (DOI:10.1007/s00044-009-9290-9)"	6	7	24	Manual data extraction	Data standardisation and curation	CHEMBL3044547
"J Agric Food Chem (2004), 52(5), 1077-1082 (PMID:14995101)"	8	22	115	Manual data extraction	Data standardisation and curation	CHEMBL3044548
"Med Chem Res (2013), 22(2), 531-547 (DOI:10.1007/s00044-012-0077-z)"	1	6	6	Manual data extraction	Data standardisation and curation	CHEMBL3044549
"Journal of Saudi Chemical Society (2011), (), - (DOI:10.1016/j.jscs.2011.12.003)"	9	2	10	Manual data extraction	Data standardisation and curation	CHEMBL3044550
"Biosci. Biotechnol. Biochem. (2001), 65(7), 1482-1488 (PMID:11515529)"	6	7	42	Manual data extraction	Data standardisation and curation	CHEMBL3044551
"Med Chem Res (2013), 22(6), 2578-2588 (DOI:10.1007/s00044-012-0255-z)"	16	35	324	Manual data extraction	Data standardisation and curation	CHEMBL3044552
"Med Chem Res (2008), 17(2), 326-334 (DOI:10.1007/s00044-007-9068-x)"	11	1	11	Manual data extraction	Data standardisation and curation	CHEMBL3044553
"J Pesticide Sci (1999), 24(1), 28-32 (DOI:10.1584/jpestics.24.28)"	25	4	100	Manual data extraction	Data standardisation and curation	CHEMBL3044554
"J Agric Food Chem (2004), 52(9), 2549-2551 (PMID:15113155)"	2	10	11	Manual data extraction	Data standardisation and curation	CHEMBL3044555
"Crop Protection (2008), 27(1), 101-103 (DOI:10.1016/j.cropro.2007.04.012)"	4	208	208	Manual data extraction	Data standardisation and curation	CHEMBL3044556
"J Pesticide Sci (1997), 22(4), 309-313 (DOI:10.1584/jpestics.22.309)"	9	14	104	Manual data extraction	Data standardisation and curation	CHEMBL3044557
"J Agric Food Chem (2007), 55(18), 7517-7526 (PMID:17696361)"	107	16	716	Manual data extraction	Data standardisation and curation	CHEMBL3044558
"Med Chem Res (2011), 20(8), 1273-1279 (DOI:10.1007/s00044-010-9470-7)"	16	2	31	Manual data extraction	Data standardisation and curation	CHEMBL3044559
"Med Chem Res (2012), 21(8), 1550-1556 (DOI:10.1007/s00044-011-9671-8)"	12	9	33	Manual data extraction	Data standardisation and curation	CHEMBL3044560
"Med Chem Res (2011), 20(4), 522-530 (DOI:10.1007/s00044-010-9326-1)"	13	2	22	Manual data extraction	Data standardisation and curation	CHEMBL3044561
"Crop Protection (2011), 30(10), 1285-1290 (DOI:10.1016/j.cropro.2011.05.023)"	1	9	9	Manual data extraction	Data standardisation and curation	CHEMBL3044562
"J Agric Food Chem (2009), 57(15), 6656-6660 (PMID:19594161)"	2	15	28	Manual data extraction	Data standardisation and curation	CHEMBL3044563
"Med Chem Res (2012), 21(8), 1647-1651 (DOI:10.1007/s00044-011-9680-7)"	7	13	19	Manual data extraction	Data standardisation and curation	CHEMBL3044564
"Med Chem Res (2012), 21(11), 3656-3668 (DOI:10.1007/s00044-011-9885-9)"	7	4	11	Manual data extraction	Data standardisation and curation	CHEMBL3044565
"Med Chem Res (2013), 22(12), 5973-5981 (DOI:10.1007/s00044-013-0584-6)"	9	4	36	Manual data extraction	Data standardisation and curation	CHEMBL3044566
"Med Chem Res (2013), 22(8), 3719-3727 (DOI:10.1007/s00044-012-0358-6)"	13	9	117	Manual data extraction	Data standardisation and curation	CHEMBL3044567
