Ft,N_neighbors,weights,Accuracy,MacroPrecision,MicroPrecision,MacroRecall,MicroRecall,MacroF1,MicroF1,MacroAUC,MicroAUC,Hamming,Time
ecfp,1,distance,0.757134,0.6849625738985642,0.7571336346029697,0.6961319772959116,0.7571336346029697,0.6900481921994599,0.7571336346029697,0.7775163356570856,0.8178502259522272,0.16311598880998493,5.234438
ecfp,2,distance,0.736346,0.6722430271496227,0.7437809536479901,0.7194624332091378,0.7776630083925113,0.6943272417708038,0.7603358987697103,0.7821165548401572,0.8218528082633957,0.16526791478373143,5.327601
ecfp,3,distance,0.756488,0.6876269405973849,0.7560128589788225,0.6959378710153,0.7627501613944481,0.6912980869194604,0.7593660372533428,0.7747029935669298,0.8198353776630084,0.16806541854960189,5.257122
ecfp,4,distance,0.766495,0.705420231061565,0.7680125060948779,0.709917041390828,0.7743060038734667,0.707047911418469,0.7711458452762174,0.7846715597503529,0.8286797934151064,0.16096406283623843,5.337377
ecfp,5,distance,0.761136,0.6986456693411645,0.7618278082635976,0.6944134462740047,0.7650742414460941,0.6954058292515185,0.7634470652262727,0.7745794308058462,0.8227404777275663,0.16354637400473424,5.427757
ecfp,6,distance,0.763912,0.7022264209690414,0.7648003654971202,0.6957597642758628,0.7683021304067139,0.6978610999776015,0.766546515499984,0.7755778795904625,0.8250806972240156,0.1616096406283624,5.450643
ecfp,7,distance,0.758167,0.6974870746415613,0.7590322790384099,0.6859871087225395,0.7619754680438993,0.6899153591463544,0.7605005365405748,0.7684894880293525,0.8205132343447386,0.16569829997848073,5.463023
ecfp,1,uniform,0.757134,0.6849625738985642,0.7571336346029697,0.6961319772959116,0.7571336346029697,0.6900481921994599,0.7571336346029697,0.7775163356570856,0.8178502259522272,0.16311598880998493,5.324777
ecfp,2,uniform,0.615817,0.6080348000403956,0.675654935162613,0.8145665630124992,0.8633957391865721,0.6935635889723036,0.7580685723420016,0.787683921530007,0.8280664945125887,0.1801162040025823,5.292820
ecfp,3,uniform,0.747192,0.6623945926204351,0.7312371175522607,0.7187869215166862,0.7817301484828922,0.6887652326618927,0.7556341972827784,0.7743087893661139,0.8190284054228535,0.17602754465246395,5.280076
ecfp,4,uniform,0.695868,0.6618492259548755,0.7229879766033662,0.7567597615719784,0.8158812136862492,0.7048298141681061,0.766621281683155,0.784280180285598,0.8297772756617173,0.17021734452334839,5.533401
ecfp,5,uniform,0.734990,0.6756414268834687,0.7390938425365239,0.7120718089157413,0.779728857327308,0.692064413651307,0.7588593046322294,0.7729102892390441,0.8210458360232408,0.171078114912847,5.407780
ecfp,6,uniform,0.706843,0.6581133181933044,0.7199478460436585,0.7323033016684547,0.8001936733376371,0.6916580042329834,0.7579259324843395,0.7712128967714367,0.8222562943834733,0.17344523348396815,5.331388
ecfp,7,uniform,0.733570,0.6773378096227256,0.738532266161619,0.6914521517448378,0.7681084570690769,0.682157892003842,0.75302731265076,0.7618402303231324,0.8160748870238865,0.17774908543146115,5.243387
rdk,1,distance,0.757263,0.687023309956796,0.7572627501613944,0.6924733713187594,0.7572627501613944,0.6893393708061106,0.7572627501613944,0.7742327502405185,0.8179470626210459,0.1480525069937594,6.063228
rdk,2,distance,0.750484,0.6829260253623708,0.7531617567018131,0.7027189181240827,0.7667527437056165,0.6922610956483554,0.7598923645299769,0.7769499565063012,0.8205455132343447,0.1484828921885087,5.673179
rdk,3,distance,0.766172,0.7002733883159226,0.7662499163417578,0.6997391309108136,0.7700451904454486,0.6995937789835067,0.7681413764407945,0.7782949570657233,0.8262911555842478,0.14417904024101572,5.709396
rdk,4,distance,0.770368,0.7072310421726553,0.7709831305433671,0.7014998883836461,0.7752098127824402,0.7038720077545827,0.7730901473960985,0.7797560018446875,0.8300355067785669,0.1454701958252636,5.795336
rdk,5,distance,0.772046,0.7099157121535072,0.7722706919517834,0.6966430364154903,0.7754034861200775,0.702499271265512,0.7738331548628188,0.7767296581858786,0.8305358295674629,0.1450398106305143,5.899718
rdk,6,distance,0.772628,0.7125517866678955,0.7729813750253818,0.694369261850851,0.7761136216914138,0.7022735705182873,0.7745436450831548,0.7750329852895473,0.8310684312459651,0.1476221217990101,6.085119
rdk,7,distance,0.770626,0.7111076817045782,0.7709541528195872,0.6897233119038897,0.7739832149774049,0.6989957827858198,0.7724651645776881,0.7714689546766992,0.8295029051000645,0.14719173660426083,6.261956
rdk,1,uniform,0.757263,0.687023309956796,0.7572627501613944,0.6924733713187594,0.7572627501613944,0.6893393708061106,0.7572627501613944,0.7742327502405185,0.8179470626210459,0.1480525069937594,5.724013
rdk,2,uniform,0.618851,0.6111139082831865,0.6769527953675212,0.8117755772501603,0.8614590058102003,0.6949552036911921,0.7581367142040136,0.7853141315802928,0.827953518398967,0.1719388853023456,5.827690
rdk,3,uniform,0.753002,0.6664116019172108,0.7366690683376002,0.7164965112525532,0.7875403486120077,0.6902029609526655,0.761247265626377,0.7733121315283891,0.8233860555196901,0.15709059608349474,6.008769
rdk,4,uniform,0.702130,0.6639745178949614,0.7274330809622279,0.7490198341577785,0.8195610071013557,0.703581433753851,0.7707362520146749,0.779464351705625,0.8329890251775339,0.15364751452550032,5.730994
rdk,5,uniform,0.745771,0.6829151202725068,0.7472509055342315,0.7021427987400545,0.7849580374435119,0.6916026245643121,0.765637287772969,0.7674032042073293,0.8260974822466106,0.15235635894125243,6.001023
rdk,6,uniform,0.720917,0.667811054120659,0.7307080158450613,0.7179991626225651,0.8018076178179471,0.6912334560408488,0.7646010235955417,0.7650488467721586,0.8270335700451904,0.16247041101786097,5.727647
rdk,7,uniform,0.743383,0.6861373482945674,0.7470778738629533,0.6824789808782131,0.7746933505487411,0.6825943716110494,0.7606240218280573,0.7561629716998345,0.8217721110393803,0.15902732945986658,5.907347
