Micro AUC score
Ft,Regularizer,lambda,TrainScore,TestScore
ecfp,l1,1e-07,0.9456416464891041,0.8285990961910911
ecfp,l1,5e-07,0.9421307506053268,0.8223047127178825
ecfp,l1,1e-06,0.9501210653753026,0.8203679793415107
ecfp,l1,5e-06,0.9242130750605325,0.8193996126533248
ecfp,l1,1e-05,0.9315980629539952,0.8184312459651387
ecfp,l1,5e-05,0.9357142857142857,0.8208521626856037
ecfp,l1,0.0001,0.9194915254237288,0.8242414460942543
ecfp,l2,1e-07,0.9415254237288136,0.8208521626856037
ecfp,l2,5e-07,0.9334140435835351,0.8223047127178825
ecfp,l2,1e-06,0.9480629539951574,0.8261781794706262
ecfp,l2,5e-06,0.9497578692493946,0.8247256294383473
ecfp,l2,1e-05,0.94636803874092,0.8271465461588122
ecfp,l2,5e-05,0.9412832929782081,0.8247256294383473
ecfp,l2,0.0001,0.9462469733656175,0.831020012911556
ecfp,l1_l2,1e-07,0.9546004842615012,0.8266623628147192
ecfp,l1_l2,5e-07,0.9386198547215496,0.8252098127824402
ecfp,l1_l2,1e-06,0.9365617433414043,0.8174628792769528
ecfp,l1_l2,5e-06,0.9455205811138016,0.816494512588767
ecfp,l1_l2,1e-05,0.9422518159806296,0.8242414460942543
ecfp,l1_l2,5e-05,0.9430992736077484,0.8266623628147192
ecfp,l1_l2,0.0001,0.9311138014527846,0.8290832795351839
rdk,l1,1e-07,0.9077481840193704,0.8285990961910911
rdk,l1,5e-07,0.9092009685230025,0.8208521626856037
rdk,l1,1e-06,0.903268765133172,0.8179470626210458
rdk,l1,5e-06,0.9030266343825666,0.8174628792769528
rdk,l1,1e-05,0.9082324455205811,0.8203679793415107
rdk,l1,5e-05,0.835230024213075,0.7850225952227243
rdk,l1,0.0001,0.888498789346247,0.8077792123950935
rdk,l2,1e-07,0.9067796610169492,0.816010329244674
rdk,l2,5e-07,0.9061743341404359,0.8295674628792771
rdk,l2,1e-06,0.8975786924939467,0.8184312459651387
rdk,l2,5e-06,0.9002421307506053,0.8256939961265332
rdk,l2,1e-05,0.8969733656174335,0.815041962556488
rdk,l2,5e-05,0.9021791767554479,0.81697869593286
rdk,l2,0.0001,0.9021791767554479,0.8213363460296966
rdk,l1_l2,1e-07,0.9048426150121066,0.8261781794706262
rdk,l1_l2,5e-07,0.8952784503631962,0.8203679793415107
rdk,l1_l2,1e-06,0.8874092009685229,0.815526145900581
rdk,l1_l2,5e-06,0.9023002421307506,0.8184312459651387
rdk,l1_l2,1e-05,0.9141646489104117,0.8295674628792771
rdk,l1_l2,5e-05,0.9010895883777239,0.816494512588767
rdk,l1_l2,0.0001,0.8883777239709443,0.8082633957391865
