assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
6327,15962,"In vitro minimum fungicidal concentration required to inhibit Aspergillus fumigatus(MFC)",F,,,"Aspergillus fumigatus",746128,,,,,50416,N,1,Intermediate,1,,CHEMBL619462,,BAO_0000218,,,CLD0
29690,4538,"In vitro minimum fungicidal concentration against Absidia corymbifera 272 after 48 hr of incubation in presence of mPEG",F,,,"Lichtheimia corymbifera",42458,,,,,50754,N,1,Intermediate,1,,CHEMBL636890,,BAO_0000218,,,CLD0
34711,4617,"Antifungicidal activity against Aspergillus niger was determined",F,,,"Aspergillus niger",5061,,,,,50275,N,1,Intermediate,1,,CHEMBL644974,,BAO_0000218,,,CLD0
36519,15962,"Minimum fungicidal concentration against Aspergillus flavus 107.96",F,,,"Aspergillus flavus",5059,,,,,50274,N,1,Intermediate,1,,CHEMBL650018,,BAO_0000218,,,CLD0
36520,15962,"Minimum fungicidal concentration against Aspergillus flavus 141.88",F,,,"Aspergillus flavus",5059,,,,,50274,N,1,Intermediate,1,,CHEMBL650019,,BAO_0000218,,,CLD0
36521,15962,"Minimum fungicidal concentration against Aspergillus flavus 194.99",F,,,"Aspergillus flavus",5059,,,,,50274,N,1,Intermediate,1,,CHEMBL650020,,BAO_0000218,,,CLD0
36686,4538,"In vitro minimum fungicidal concentration against Aspergillus fumigatus 231 after 48 hr of incubation in presence of mPEG",F,,,"Aspergillus fumigatus",746128,,,,,50416,N,1,Intermediate,1,,CHEMBL650108,,BAO_0000218,,,CLD0
36687,15962,"Minimum fungicidal concentration against Aspergillus fumigatus 119.00",F,,,"Aspergillus fumigatus",746128,,,,,50416,N,1,Intermediate,1,,CHEMBL650109,,BAO_0000218,,,CLD0
36688,15962,"Minimum fungicidal concentration against Aspergillus fumigatus 153.90",F,,,"Aspergillus fumigatus",746128,,,,,50416,N,1,Intermediate,1,,CHEMBL650110,,BAO_0000218,,,CLD0
36689,15962,"Minimum fungicidal concentration against Aspergillus fumigatus 165.86",F,,,"Aspergillus fumigatus",746128,,,,,50416,N,1,Intermediate,1,,CHEMBL650111,,BAO_0000218,,,CLD0
36799,15962,"Minimum fungicidal concentration against Aspergillus fumigatus 168.95",F,,,"Aspergillus fumigatus",746128,,,,,50416,N,1,Intermediate,1,,CHEMBL649167,,BAO_0000218,,,CLD0
36800,15962,"Minimum fungicidal concentration against Aspergillus fumigatus 182.99",F,,,"Aspergillus fumigatus",746128,,,,,50416,N,1,Intermediate,1,,CHEMBL649168,,BAO_0000218,,,CLD0
39790,1459,"Fungicidal activity (under greenhouse conditions against Cucumber botrytis (Botrytis cinerea) at 200 ppm",F,,,"Botryotinia fuckeliana",40559,,,,,50786,N,1,Expert,1,,CHEMBL652895,,BAO_0000218,,,CLD0
39791,1459,"The fungicidal activity (percent disease control) under greenhouse conditions against Cucumber botrytis (Botrytis cinerea) at 40 ppm",F,,,"Botryotinia fuckeliana",40559,,,,,50786,N,1,Intermediate,1,,CHEMBL652896,,BAO_0000218,,,CLD0
39805,15962,"In vitro minimum fungicidal concentration against Candida albicans.",F,,,"Candida albicans",5476,,,,,50442,N,1,Expert,1,,CHEMBL652956,,BAO_0000218,,,CLD0
