assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
38723,7938,"Herbicidal activity against barnyard grass (Echinochloa crusgalli L. Beauv.) as the dose required for 50% control",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Expert,1,,CHEMBL649852,,BAO_0000218,,,CLD0
192375,7938,"Herbicidal activity against green foxtail (Setaria viridis L. Beauv.) as the dose required for 50% control",F,,,"Setaria viridis",4556,,,,,22226,U,0,Autocuration,1,,CHEMBL798680,,BAO_0000019,,,CLD0
206826,7938,"Herbicidal activity against Switch grass (Panicum virgatum L.) as the dose required for 50% control",F,,,"Panicum virgatum",38727,,,,,22226,U,0,Autocuration,1,,CHEMBL808352,,BAO_0000019,,,CLD0
432149,35475,"Herbicidal activity against Brassica campestris L assessed as inhibition of rape root growth at 100 ug/ml",F,,,"Brassica rapa subsp. campestris",145471,,,,,101689,N,1,Autocuration,1,,CHEMBL920640,,BAO_0000218,,,CLD0
432150,35475,"Herbicidal activity against Brassica campestris L assessed as inhibition of rape root growth at 10 ug/ml",F,,,"Brassica rapa subsp. campestris",145471,,,,,101689,N,1,Autocuration,1,,CHEMBL920641,,BAO_0000218,,,CLD0
435383,35700,"Herbicidal activity against Triticum aestivum at 450 g ai/ha in greenhouse in vivo test",F,,,"Triticum aestivum",4565,,,,,50403,N,1,Intermediate,1,,CHEMBL903741,,BAO_0000218,,,CLD0
435384,35700,"Herbicidal activity against Echinochloa crus-galli at 450 g ai/ha in greenhouse in vivo test",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Intermediate,1,,CHEMBL903742,,BAO_0000218,,,CLD0
435385,35700,"Herbicidal activity against Sorghum bicolor at 450 g ai/ha in greenhouse in vivo test",F,,,"Sorghum bicolor",4558,,,,,102086,N,1,Autocuration,1,,CHEMBL903743,,BAO_0000218,,,CLD0
435386,35700,"Herbicidal activity against Brassica campestris at 450 g ai/ha in greenhouse in vivo test",F,,,"Brassica rapa subsp. campestris",145471,,,,,101689,N,1,Autocuration,1,,CHEMBL903744,,BAO_0000218,,,CLD0
435387,35700,"Herbicidal activity against Raphanus sativus at 450 g ai/ha in greenhouse in vivo test",F,,,"Raphanus sativus",3726,,,,,100703,N,1,Intermediate,1,,CHEMBL903745,,BAO_0000218,,,CLD0
435388,35700,"Herbicidal activity against Cucumis sativus at 450 g ai/ha in greenhouse in vivo test",F,,,"Cucumis sativus",3659,,,,,101750,N,1,Autocuration,1,,CHEMBL903746,,BAO_0000218,,,CLD0
443004,36436,"Herbicidal activity against rape assessed as inhibition of root growth at 100 mg/L relative to control",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,,CHEMBL892135,,BAO_0000218,,,CLD0
443005,36436,"Herbicidal activity against rape assessed as inhibition of root growth at 10 mg/L relative to control",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,,CHEMBL892136,,BAO_0000218,,,CLD0
443006,36436,"Herbicidal activity against barnyard grass assessed as inhibition of root growth at 100 mg/L relative to control",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Intermediate,1,,CHEMBL892137,,BAO_0000218,,,CLD0
443007,36436,"Herbicidal activity against barnyard grass assessed as inhibition of root growth at 10 mg/L relative to control",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Intermediate,1,,CHEMBL892138,,BAO_0000218,,,CLD0
443008,36436,"Herbicidal activity against rape assessed as inhibition of stalk growth at 100 mg/L relative to control",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,,CHEMBL892139,,BAO_0000218,,,CLD0
443009,36436,"Herbicidal activity against rape assessed as inhibition of stalk growth at 10 mg/L relative to control",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,,CHEMBL892140,,BAO_0000218,,,CLD0
443010,36436,"Herbicidal activity against barnyard grass assessed as inhibition of stalk growth at 100 mg/L relative to control",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Intermediate,1,,CHEMBL892141,,BAO_0000218,,,CLD0
443011,36436,"Herbicidal activity against barnyard grass assessed as inhibition of stalk growth at 10 mg/L relative to control",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Intermediate,1,,CHEMBL892142,,BAO_0000218,,,CLD0
480843,40966,"Herbicidal activity against velvetleaf assessed as seed germination at 2.5 mM after 4 days relative to control",F,,,"Abutilon theophrasti",3631,,,,,101626,N,1,Autocuration,1,,CHEMBL1017320,,BAO_0000218,,,CLD0
480844,40966,"Herbicidal activity against velvetleaf assessed as seed germination at 1 mM after 4 days relative to control",F,,,"Abutilon theophrasti",3631,,,,,101626,N,1,Autocuration,1,,CHEMBL1017321,,BAO_0000218,,,CLD0
480845,40966,"Herbicidal activity against velvetleaf assessed as seed germination at 5 mM after 4 days relative to control",F,,,"Abutilon theophrasti",3631,,,,,101626,N,1,Autocuration,1,,CHEMBL1017322,,BAO_0000218,,,CLD0
480897,40983,"Herbicidal activity against Lepidium sativum assessed as inhibition of radicle growth of seed at 3 to 4 ppm after 69 to 75 hrs in dark",F,,,"Lepidium sativum",33125,,,,,50767,N,1,Autocuration,1,,CHEMBL1018209,,BAO_0000218,,,CLD0
480898,40983,"Herbicidal activity against Lepidium sativum assessed as occurrence of browning and tissue necrosis",F,,,"Lepidium sativum",33125,,,,,50767,N,1,Autocuration,1,,CHEMBL1018210,,BAO_0000218,,,CLD0
480899,40983,"Herbicidal activity against Lepidium sativum assessed as inhibition of radicle growth of seeds at 1 to 2 ppm after 69 to 75 hrs in dark",F,,,"Lepidium sativum",33125,,,,,50767,N,1,Autocuration,1,,CHEMBL1018211,,BAO_0000218,,,CLD0
500292,46709,"Herbicidal activity against Brassica napus at 1.5 kg/hectare administered postemergence of first true leaf measured after 10 days",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,,CHEMBL970504,,BAO_0000218,,,CLD0
500293,46709,"Herbicidal activity against Amaranthus retroflexus at 1.5 kg/hectare administered postemergence of first true leaf measured after 10 days",F,,,"Amaranthus retroflexus",124763,,,,,101646,N,1,Autocuration,1,,CHEMBL970505,,BAO_0000218,,,CLD0
500294,46709,"Herbicidal activity against Medicago sativa at 1.5 kg/hectare administered postemergence of first true leaf measured after 10 days",F,,,"Medicago sativa",3879,,,,,101903,N,1,Autocuration,1,,CHEMBL970506,,BAO_0000218,,,CLD0
500295,46709,"Herbicidal activity against Digitaria sanguinalis at 1.5 kg/hectare administered postemergence of first true leaf measured after 10 days",F,,,"Digitaria sanguinalis",121769,,,,,101772,N,1,Autocuration,1,,CHEMBL970507,,BAO_0000218,,,CLD0
500296,46709,"Herbicidal activity against Brassica napus L. at 1.5 kg/hectare administered preemergence of first true leaf measured after 10 days",F,,,"Brassica napus",3708,,,,,101688,N,1,Autocuration,1,,CHEMBL973438,,BAO_0000218,,,CLD0
500297,46709,"Herbicidal activity against Amaranthus retroflexus at 1.5 kg/hectare administered preemergence of first true leaf measured after 10 days",F,,,"Amaranthus retroflexus",124763,,,,,101646,N,1,Autocuration,1,,CHEMBL972478,,BAO_0000218,,,CLD0
500298,46709,"Herbicidal activity against Medicago sativa at 1.5 kg/hectare administered preemergence of first true leaf measured after 10 days",F,,,"Medicago sativa",3879,,,,,101903,N,1,Autocuration,1,,CHEMBL973390,,BAO_0000218,,,CLD0
500299,46709,"Herbicidal activity against Digitaria sanguinalis (L.) Scop. at 1.5 kg/hectare administered preemergence of first true leaf measured after 10 days",F,,,"Digitaria sanguinalis",121769,,,,,101772,N,1,Autocuration,1,,CHEMBL973391,,BAO_0000218,,,CLD0
502733,39843,"Herbicidal activity against Xanthium strumarium assessed as plant death at 7.81 ppm after 2 weeks",F,,,"Xanthium strumarium",318068,,,,,102144,N,1,Autocuration,1,,CHEMBL991103,,BAO_0000218,,,CLD0
502734,39843,"Herbicidal activity against Xanthium strumarium assessed as plant death at 31.25 ppm after 2 weeks",F,,,"Xanthium strumarium",318068,,,,,102144,N,1,Autocuration,1,,CHEMBL991104,,BAO_0000218,,,CLD0
502735,39843,"Herbicidal activity against Ipomoea hederacea assessed as plant death at 31.25 ppm after 2 weeks",F,,,"Ipomoea hederacea",43178,,,,,101854,N,1,Autocuration,1,,CHEMBL991105,,BAO_0000218,,,CLD0
502736,39843,"Herbicidal activity against Ipomoea hederacea assessed as plant death at 15.63 ppm after 2 weeks",F,,,"Ipomoea hederacea",43178,,,,,101854,N,1,Autocuration,1,,CHEMBL991106,,BAO_0000218,,,CLD0
502737,39843,"Herbicidal activity against Ipomoea hederacea assessed as plant death at 7.81 ppm after 2 weeks",F,,,"Ipomoea hederacea",43178,,,,,101854,N,1,Autocuration,1,,CHEMBL991107,,BAO_0000218,,,CLD0
502738,39843,"Herbicidal activity against Amaranthus sp. assessed as plant death at 31.25 ppm after 2 weeks",F,,,Amaranthus,3564,,,,,50322,N,1,Autocuration,1,,CHEMBL991108,,BAO_0000218,,,CLD0
502739,39843,"Herbicidal activity against Amaranthus sp. assessed as plant death at 15.63 ppm after 2 weeks",F,,,Amaranthus,3564,,,,,50322,N,1,Autocuration,1,,CHEMBL991945,,BAO_0000218,,,CLD0
502740,39843,"Herbicidal activity against Amaranthus sp. assessed as plant death at 7.81 ppm after 2 weeks",F,,,Amaranthus,3564,,,,,50322,N,1,Autocuration,1,,CHEMBL991946,,BAO_0000218,,,CLD0
502741,39843,"Herbicidal activity against Abutilon theophrasti assessed as plant death at 7.81 ppm after 2 weeks",F,,,"Abutilon theophrasti",3631,,,,,101626,N,1,Autocuration,1,,CHEMBL991947,,BAO_0000218,,,CLD0
502742,39843,"Herbicidal activity against Fallopia convolvulus assessed as plant death at 31.25 ppm after 2 weeks",F,,,"Fallopia convolvulus",76029,,,,,101793,N,1,Autocuration,1,,CHEMBL991948,,BAO_0000218,,,CLD0
502743,39843,"Herbicidal activity against Fallopia convolvulus assessed as plant death at 15.63 ppm after 2 weeks",F,,,"Fallopia convolvulus",76029,,,,,101793,N,1,Autocuration,1,,CHEMBL991949,,BAO_0000218,,,CLD0
502744,39843,"Herbicidal activity against Zea mays assessed as plant death at 15.63 ppm after 2 weeks",F,,,"Zea mays",4577,,,,,50337,N,1,Autocuration,1,,CHEMBL991950,,BAO_0000218,,,CLD0
502745,39843,"Herbicidal activity against Zea mays assessed as plant death at 7.81 ppm after 2 weeks",F,,,"Zea mays",4577,,,,,50337,N,1,Autocuration,1,,CHEMBL991951,,BAO_0000218,,,CLD0
