assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
30218,10237,"In vitro insecticidal activity in bovine serum against adult stable fly",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644185,,BAO_0000218,1977,,CLD0
30219,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 0.30 mg/kg; Activity was observed, although mortality never reached 50%",F,,,"Stomoxys calcitrans",35570,,,,,50774,N,1,Intermediate,1,,CHEMBL644186,,BAO_0000218,,,CLD0
30220,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 0.35 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644187,,BAO_0000218,1977,,CLD0
30221,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 0.50 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644188,,BAO_0000218,1977,,CLD0
30222,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 0.50 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644189,,BAO_0000218,1977,,CLD0
30223,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 0.75 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644190,,BAO_0000218,1977,,CLD0
30224,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 1.00 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644191,,BAO_0000218,1977,,CLD0
30225,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 1.50 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644365,,BAO_0000218,1977,,CLD0
30226,10237,"In vitro insecticidal activity against adult stable fly in serum collected from calves administered with 1 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644366,,BAO_0000218,1977,,CLD0
30227,10237,"In vivo insecticidal activity against adult stable fly in serum collected from calves administered with 0.50 mg/kg",F,,,"Stomoxys calcitrans",35570,,Serum,,,50774,N,1,Intermediate,1,,CHEMBL644367,,BAO_0000218,1977,,CLD0
