assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
481861,40954,"Nematicidal activity against Bursaphelenchus xylophilus assessed as mortality after 24 hrs",F,,,"Bursaphelenchus xylophilus",6326,,,,,101694,N,1,Autocuration,1,,CHEMBL955273,,BAO_0000218,,,CLD0
483307,41662,"Nematicidal activity against Caenorhabditis elegans assessed as mortality at 100 ppm",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL1000959,,BAO_0000218,,,CLD0
483311,41662,"Nematicidal activity against Caenorhabditis elegans assessed as mortality at 0.1 ppm",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL1000963,,BAO_0000218,,,CLD0
483600,41662,"Nematicidal activity against Caenorhabditis elegans assessed as mortality at 1 ppm",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL961191,,BAO_0000218,,,CLD0
483601,41662,"Nematicidal activity against Caenorhabditis elegans assessed as mortality at 10 ppm",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL961192,,BAO_0000218,,,CLD0
492699,45800,"Nematicidal activity against Bursaphelenchus xylophilus measured per cotton ball after 4 days by serial dilution method",F,,,"Bursaphelenchus xylophilus",6326,,,,,101694,N,1,Autocuration,1,,CHEMBL938499,,BAO_0000218,,,CLD0
505543,41358,"Nematicidal activity against Haemonchus contortus",F,,,"Haemonchus contortus",6289,,,,,50540,N,1,Autocuration,1,,CHEMBL949780,,BAO_0000218,,,CLD0
506886,41420,"Nematicidal activity against Caenorhabditis elegans at 100 ug/ml",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL950667,,BAO_0000218,,,CLD0
524532,43545,"Nematicidal activity against Caenorhabditis elegans",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL968272,,BAO_0000218,,,CLD0
524837,43029,"Nematicidal activity against Meloidogyne incognita",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,,CHEMBL975583,,BAO_0000218,,,CLD0
524838,43029,"Nematicidal activity against Meloidogyne incognita up to 100 ug/mL",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,,CHEMBL975584,,BAO_0000218,,,CLD0
528419,43529,"Nematicidal activity against Meloidogyne incognita assessed as larval mortality at 1% drug concentration after 24 hrs",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,,CHEMBL976952,,BAO_0000218,,,CLD0
528420,43529,"Nematicidal activity against Meloidogyne incognita assessed as larval mortality at 1% drug concentration after 48 hrs",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,,CHEMBL976953,,BAO_0000218,,,CLD0
528421,43529,"Nematicidal activity against Meloidogyne incognita assessed as larval mortality at 1% drug concentration after 72 hrs",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,,CHEMBL976954,,BAO_0000218,,,CLD0
551104,43272,"Nematicidal activity against Heteropogon contortus",F,,,"Heteropogon contortus",79849,,,,,101838,N,1,Autocuration,1,,CHEMBL1007685,,BAO_0000218,,,CLD0
553607,44364,"Nematicidal activity against Bursaphelenchus xylophilus at 200 ug/ml after 24 hrs",F,,,"Bursaphelenchus xylophilus",6326,,,,,101694,N,1,Autocuration,1,,CHEMBL959598,,BAO_0000218,,,CLD0
553608,44364,"Nematicidal activity against Bursaphelenchus xylophilus at 200 ug/ml after 48 hrs",F,,,"Bursaphelenchus xylophilus",6326,,,,,101694,N,1,Autocuration,1,,CHEMBL959599,,BAO_0000218,,,CLD0
553609,44364,"Nematicidal activity against Bursaphelenchus xylophilus at 100 ug/ml after 24 hrs",F,,,"Bursaphelenchus xylophilus",6326,,,,,101694,N,1,Autocuration,1,,CHEMBL959600,,BAO_0000218,,,CLD0
553725,44364,"Nematicidal activity against Bursaphelenchus xylophilus at 100 ug/ml after 48 hrs",F,,,"Bursaphelenchus xylophilus",6326,,,,,101694,N,1,Autocuration,1,,CHEMBL962803,,BAO_0000218,,,CLD0
587362,48350,"Nematicidal activity against Caenorhabditis elegans at 100 ug/ml",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL1042224,,BAO_0000218,,,CLD0
587379,48350,"Nematicidal activity against Meloidogyne incognita at 100 ug/ml",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,,CHEMBL1042241,,BAO_0000218,,,CLD0
637713,51474,"Nematicidal activity against Ditylenchus myceliophagus assessed as immobile nematodes after 2 days",F,,,"Ditylenchus myceliophagus",346252,,,,,22226,U,0,Autocuration,1,,CHEMBL1167304,,BAO_0000019,,,CLD0
637714,51474,"Nematicidal activity against Caenorhabditis elegans assessed as immobile nematodes after 2 days",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,,CHEMBL1167305,,BAO_0000218,,,CLD0
761863,58486,"Nematicidal activity against Panagrellus redivivus assessed as effect on larval development at 200 ug/mL after 48 hrs",F,,,"Panagrellus redivivus",6233,,,,,101970,N,1,Autocuration,1,390908,CHEMBL1817222,,BAO_0000218,,,CLD0
887596,67102,"Nematicidal activity against Ditylenchus myceliophagus after 2 days",F,,,"Ditylenchus myceliophagus",346252,,,,,22226,U,0,Autocuration,1,501807,CHEMBL2217205,,BAO_0000019,,,CLD0
887597,67102,"Nematicidal activity against Caenorhabditis elegans after 2 days",F,,,"Caenorhabditis elegans",6239,,,,,50531,N,1,Autocuration,1,501808,CHEMBL2217206,,BAO_0000218,,,CLD0
891953,68071,"Nematicidal activity against second-stage juvenile of Meloidogyne incognita (root-knot nematode) assessed as mortality at 25 degC at 2000 umol/L after 24 hr Rvb = 1.47 to 2.51%)",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,503208,CHEMBL3049459,,BAO_0000218,,,CLD0
891954,68071,"Nematicidal activity against second-stage juvenile of Meloidogyne incognita (root-knot nematode) assessed as mortality at 25 degC at 2000 umol/L after 12 hr (Rvb = 1.79 to 3.30%)",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,503207,CHEMBL3049460,,BAO_0000218,,,CLD0
892003,68071,"Nematicidal activity against second-stage juvenile of Meloidogyne incognita (root-knot nematode) assessed as mortality at 25 degC at 1000 umol/L after 24 hr Rvb = 1.47 to 2.51%)",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,503206,CHEMBL3047111,,BAO_0000218,,,CLD0
892004,68071,"Nematicidal activity against second-stage juvenile of Meloidogyne incognita (root-knot nematode) assessed as mortality at 25 degC at 1000 umol/L after 12 hr (Rvb = 1.79 to 3.30%)",F,,,"Meloidogyne incognita",6306,,,,,50542,N,1,Autocuration,1,503205,CHEMBL3047112,,BAO_0000218,,,CLD0
